"area_code","power_market","load_center","transient_grid_flag","grid_no","proposed_grid_no","province","division","district","area","sub_area","area_type","year","consumer_type","name_of_area","name_of_sub_area","domestic","commercial","public_light","small_industry","public_tube_well","bulk","bulk_demand","medium_large_industry","medium_large_industry_demand","domestic_load_factor","commercial_load_factor","small_industry_load_factor","public_tube_well_load_factor","small_industry_coincidence_factor","public_tube_well_coincidence_factor"
2,1,3,0,32,0,3,4,1,1,1,1,0,3,"Gujranwala","COLLEGE ROAD",221677938,16139433,81504,67618443,1709513,280000,384,104800983,35111,36,30,30,0,0,0
2,1,3,0,44,0,3,4,1,1,1,2,0,3,"GHAKKAR","GHAKKAR",107958238,7710116,31144,3609822,12753071,23262019,5065,25762800,10444,46,47,45,45,0,0
2,1,3,0,50,0,3,4,1,1,1,1,0,3,"Gujranwala","Shahinabad",171823302,38818129,304156,34029430,72096,2723615,1242,113849001,85251,47,47,0,0,0,0
2,1,3,0,51,0,3,4,2,1,1,1,0,3,"Gujrat","GUJRAT-1",143088956,18653947,234882,6774439,1998804,301074,157,29346761,13066,46,38,37,0,0,0
2,1,3,0,55,0,3,4,3,1,1,3,0,3,"HFD","HAFIZABAD",133501922,11326565,84869,11493263,40046292,704240,518,13912033,5295,36,26,0,0,0,0
2,1,3,0,62,0,3,4,4,2,1,1,0,3,"MANDI(MBD)","HELLAN",75455362,4294748,0,489808,9368097,0,0,3068402,3138,34,25,0,0,0,0
2,1,3,0,67,0,3,4,2,2,1,2,0,3,"JALALPUR JATTAN","JALALPUR JATTA",185974767,11232136,110723,4689269,1381247,1518165,454,3365279,2001,39,35,0,0,0,0
2,1,3,0,85,0,3,4,4,2,1,3,0,3,"KATHILA SHEIKHAN","KATHILA SHEIKH",133645056,7176222,39217,3142831,10211117,0,0,4807767,3094,32,23,0,0,0,0
2,1,3,0,94,0,3,4,1,1,1,3,0,3,"Kamokey","KAMOKEY",133859279,11726083,0,12870405,10891096,29740,6,102622931,34186,45,40,0,0,0,0
2,1,3,0,107,0,3,4,2,1,1,1,0,3,"KHARIAN","KHARIAN",126584752,15552815,149484,784410,1084958,32419480,7006,2651165,1629,38,30,0,0,0,0
2,1,3,0,116,0,3,4,2,2,1,2,0,3,"LALAMUSA","LALAMUSA",178030415,16046221,30020,2181522,4194841,665891,302,8418000,4685,37,35,0,0,0,0
2,1,3,0,142,0,3,4,5,2,1,1,0,3,"Narowal","NAROWAL",138433719,10618371,102713,2620154,18701907,1116442,502,12696527,7386,38,30,0,0,0,0
2,1,3,0,157,0,3,4,1,1,1,1,0,3,"Gujranwala","PASR/RD GRW",265988940,24297789,262671,26311639,8325190,416880,218,63857753,17975,45,42,0,0,0,0
2,1,3,0,163,0,3,4,1,2,1,2,0,3,"Q.D.SINGH","Q.D.SINGH",91001835,6424654,0,4005765,25187937,0,0,32482066,10042,24,13,0,0,0,0
2,1,3,0,187,0,3,4,6,2,1,2,0,3,"SAMBRIAL","SAMBRIAL",103096701,9220341,83915,2902353,3158957,4134360,1056,8007506,4086,43,34,0,0,0,0
2,1,3,0,201,0,3,4,6,1,1,1,0,3,"Sialkot","SKT PSROR RD",198358687,15425168,474589,15232730,7858970,0,0,19450920,9863,48,39,0,0,0,0
2,1,3,0,214,0,3,4,1,1,1,1,0,3,"Gujranwala","THERI SANSI",91087734,12048163,48263,30022837,260101,0,0,75637155,26217,51,48,21,0,0,0
