"area_code","power_market","load_center","transient_grid_flag","grid_no","proposed_grid_no","province","division","district","area","sub_area","area_type","year","consumer_type","name_of_area","name_of_sub_area","domestic","commercial","public_light","small_industry","public_tube_well","bulk","bulk_demand","medium_large_industry","medium_large_industry_demand","domestic_load_factor","commercial_load_factor","small_industry_load_factor","public_tube_well_load_factor","small_industry_coincidence_factor","public_tube_well_coincidence_factor"
4,1,7,0,10,0,3,7,5,1,1,1,0,3,"Rawalpindi","Bakra Mandi",167755596,20600215,2042603,1029787,301076,7670995,9250,795914,1350,44,30,30,0,0,0
4,1,7,0,10,0,3,7,5,1,1,1,1,3,NA,NA,3466404,436719,25931,0,84812,0,0,0,0,38,30,0,0,0,0
4,1,7,0,10,0,3,7,5,1,1,1,2,3,NA,NA,3466404,436719,25931,0,84812,0,0,0,0,38,30,0,0,0,0
4,1,7,0,10,0,3,7,5,1,1,1,3,3,NA,NA,3466404,436719,25931,0,84812,0,0,0,0,38,30,0,0,0,0
4,1,7,0,10,0,3,7,5,1,1,1,4,3,NA,NA,3466404,436719,25931,0,84812,0,0,0,0,38,30,0,0,0,0
4,1,7,0,10,0,3,7,5,1,1,1,5,3,NA,NA,3466404,436719,25931,0,84812,0,0,0,0,38,30,0,0,0,0
4,1,7,0,10,0,3,7,5,1,1,1,6,3,NA,NA,3466404,436719,25931,0,84812,0,0,0,0,38,30,0,0,0,0
4,1,7,0,10,0,3,7,5,1,1,1,7,3,NA,NA,3466404,436719,25931,0,84812,0,0,0,0,38,30,0,0,0,0
4,1,7,0,10,0,3,7,5,1,1,1,8,3,NA,NA,3466404,436719,25931,0,84812,0,0,0,0,38,30,0,0,0,0
4,1,7,0,10,0,3,7,5,1,1,1,9,3,NA,NA,3466404,436719,25931,0,84812,0,0,0,0,38,30,0,0,0,0
4,1,7,0,10,0,3,7,5,1,1,1,10,3,NA,NA,3466404,436719,25931,0,84812,0,0,0,0,38,30,0,0,0,0
4,1,7,0,21,0,3,7,1,1,1,1,0,3,"HasanAbdal","Burhan",190623,442002,0,7549,0,0,0,11802958,3024,50,30,0,0,0,0
4,1,7,0,21,0,3,7,1,1,1,1,1,3,NA,NA,0,0,0,0,0,0,0,0,0,45,30,0,0,0,0
4,1,7,0,21,0,3,7,1,1,1,1,2,3,NA,NA,0,0,0,0,0,0,0,0,0,45,30,0,0,0,0
4,1,7,0,21,0,3,7,1,1,1,1,3,3,NA,NA,0,0,0,0,0,0,0,0,0,45,30,0,0,0,0
4,1,7,0,21,0,3,7,1,1,1,1,4,3,NA,NA,0,0,0,0,0,0,0,0,0,45,30,0,0,0,0
4,1,7,0,21,0,3,7,1,1,1,1,5,3,NA,NA,0,0,0,0,0,0,0,0,0,45,30,0,0,0,0
4,1,7,0,21,0,3,7,1,1,1,1,6,3,NA,NA,0,0,0,0,0,0,0,0,0,45,30,0,0,0,0
4,1,7,0,21,0,3,7,1,1,1,1,7,3,NA,NA,0,0,0,0,0,0,0,0,0,45,30,0,0,0,0
4,1,7,0,21,0,3,7,1,1,1,1,8,3,NA,NA,0,0,0,0,0,0,0,0,0,45,30,0,0,0,0
4,1,7,0,21,0,3,7,1,1,1,1,9,3,NA,NA,0,0,0,0,0,0,0,0,0,45,30,0,0,0,0
4,1,7,0,21,0,3,7,1,1,1,1,10,3,NA,NA,0,0,0,0,0,0,0,0,0,45,30,0,0,0,0
4,1,7,0,22,0,3,7,2,3,3,3,0,3,"Chakwal","Chakwal",151543823,20703843,107582,2176090,1996070,22768658,5198,71610801,21468,38,27,0,0,0,0
4,1,7,0,22,0,3,7,2,3,3,3,1,3,NA,NA,3806746,1752000,0,140160,359510,0,0,480048,109,50,43,0,0,0,0
4,1,7,0,22,0,3,7,2,3,3,3,2,3,NA,NA,3806746,1752000,0,140160,359510,0,0,480048,109,50,43,0,0,0,0
4,1,7,0,22,0,3,7,2,3,3,3,3,3,NA,NA,3806746,1752000,0,140160,359510,0,0,480048,109,50,43,0,0,0,0
4,1,7,0,22,0,3,7,2,3,3,3,4,3,NA,NA,3806746,1752000,0,140160,359510,0,0,480048,109,50,43,0,0,0,0
4,1,7,0,22,0,3,7,2,3,3,3,5,3,NA,NA,3806746,1752000,0,140160,359510,0,0,480048,109,50,43,0,0,0,0
4,1,7,0,22,0,3,7,2,3,3,3,6,3,NA,NA,3806746,1752000,0,140160,359510,0,0,480048,109,50,43,0,0,0,0
