"area_code","power_market","load_center","transient_grid_flag","grid_no","proposed_grid_no","province","division","district","area","sub_area","area_type","year","consumer_type","name_of_area","name_of_sub_area","domestic","commercial","public_light","small_industry","public_tube_well","bulk","bulk_demand","medium_large_industry","medium_large_industry_demand","domestic_load_factor","commercial_load_factor","small_industry_load_factor","public_tube_well_load_factor","small_industry_coincidence_factor","public_tube_well_coincidence_factor"
9,5,9,0,3001,0,2,8,4,1,3,3,0,3,"Bannu","Bannu",20462346,23949,0,0,38200,0,0,333030,95,25,30,0,0,0,0
9,5,9,0,3002,0,2,8,1,1,3,3,0,3,"khyber","Jamrud",27416628,99804,0,377100,76398,0,0,32532521,9284,10,10,10,15,0,0
9,5,9,0,3004,0,2,8,8,1,3,3,0,3,"Dara","Kohat",27839322,58120,0,0,18225,0,0,46960,13,10,12,0,0,0,0
9,5,9,0,3005,0,2,8,1,1,3,3,0,3,"Khyber","L/Kotal",126138572,176437,0,57240,23539,3290740,939,0,0,27,25,0,0,0,0
9,5,9,0,3006,0,2,8,12,1,3,3,0,3,"Prova","Romak",2619470,0,0,0,0,0,0,0,0,10,10,0,15,0,0
9,5,9,0,3007,0,2,8,1,1,3,3,0,3,"Khyber","Bara",84117959,238700,0,815852,111990,360699,103,166937225,47642,15,15,0,0,0,0
9,5,9,0,3009,0,2,8,2,1,3,3,0,3,"Samana","Hangu",29682839,0,0,0,0,0,0,0,0,13,15,0,0,0,0
9,5,9,0,3010,0,2,8,11,1,3,3,0,3,"FR.Tank","Jandola",28201611,81580,0,4192,9917,502774,143,0,0,25,30,0,0,0,0
9,5,9,0,3011,0,2,8,7,1,3,3,0,3,"Bajour","Bajaur",74941977,1261640,0,446377,263258,297760,85,3017271,861,26,20,0,0,0,0
9,5,9,0,3014,0,2,8,1,1,3,3,0,3,"Shakass","Hayatabad",45758908,33748,0,11506,13342,764760,218,35237413,10056,17,15,0,15,0,0
9,5,9,0,3015,0,2,8,5,1,3,3,0,3,"SWA","Wana",12978883,17489,0,2101,951016,0,0,201905,58,25,30,40,40,0,0
9,5,9,0,3016,0,2,8,9,1,3,3,0,3,"Norak","K/Ghari",0,0,0,0,0,0,0,0,0,20,15,0,0,0,0
9,5,9,0,3017,0,2,8,13,1,3,3,0,3,"Mattani","Mattani",77006171,65226,0,199433,265802,83480,24,86710,25,35,25,0,0,0,0
9,5,9,0,3018,0,2,8,3,1,3,3,0,3,"Kurram Agen","Parachinar",104020880,726179,0,218468,115746,700702,200,0,0,20,10,45,45,0,0
9,5,9,0,3019,0,2,8,3,1,3,3,0,3,"Kurram","Sadda",41097258,54744,0,144132,430,0,0,174280,50,19,15,0,15,0,0
9,5,9,0,3020,0,2,8,6,1,3,3,0,3,"Machani","Warsak",18656648,792,0,22948,0,0,0,21068801,6013,25,15,0,0,0,0
9,5,9,0,3021,0,2,8,4,1,3,3,0,3,"Spin Wam","Tall",22768090,51889,0,12000,95580,0,0,0,0,10,15,0,0,0,0
9,5,9,0,3023,0,2,8,6,1,3,3,0,3,"Pump Statio","Spar Sang",0,0,0,0,23920000,0,0,0,0,20,15,0,30,0,0
9,5,9,0,3024,0,2,8,11,1,3,3,0,3,"Umar Adda","F.RTank",12185170,656,0,0,0,0,0,0,0,20,15,0,0,0,0
9,5,9,0,3025,0,2,8,3,1,3,3,0,3,"Kurram Agen","Ali Zai",17397678,62886,0,4739,0,21880,6,0,0,1,1,0,0,0,0
