"area_code","power_market","load_center","transient_grid_flag","grid_no","proposed_grid_no","province","division","district","area","sub_area","area_type","year","consumer_type","name_of_area","name_of_sub_area","domestic","commercial","public_light","small_industry","public_tube_well","bulk","bulk_demand","medium_large_industry","medium_large_industry_demand","domestic_load_factor","commercial_load_factor","small_industry_load_factor","public_tube_well_load_factor","small_industry_coincidence_factor","public_tube_well_coincidence_factor"
6,1,6,0,4,0,2,3,1,1,2,1,0,3,"Abbottabad","Abbottabad",94490930,20411999,334625,527737,12859,6545825,1868,3958208,1130,69,66,45,42,0,0
6,1,6,0,225,0,2,7,1,1,3,1,0,3,"Abbottabad","AMC Abbottabad",85857016,18425179,67658,791056,19519,10050650,2868,5814979,1660,70,70,70,70,0,0
6,1,6,0,784,0,2,1,3,7,1,3,0,5,"Villages","AWT Nizampur",0,0,0,0,0,0,0,118153800,33720,35,30,45,30,0,0
6,1,6,0,235,0,2,1,1,1,2,1,0,3,"Peshawar","Badaber",8387556,1065523,0,69450,494939,134680,38,106580,30,12,22,20,20,0,0
6,1,6,0,580,0,2,7,3,5,1,2,0,3,"Balakot","Balakot",32748212,4422259,4475,92522,0,0,0,87060,25,48,45,45,30,0,0
6,1,6,0,239,0,2,5,1,3,1,2,0,3,"Bandkuri","Bandkuri",40384639,2066104,0,3319031,2648649,0,0,2791517,797,43,40,50,50,0,0
6,1,6,0,11,0,2,4,1,1,1,1,0,3,"Bannu","Bannu",75603787,10045363,0,1562197,761796,0,0,4348111,1241,18,24,17,17,0,0
6,1,6,0,1153,0,2,6,1,6,1,3,0,3,"Swat","Barikot",40136176,2692084,0,444891,2070150,0,0,1583618,452,26,26,50,40,0,0
6,1,6,0,14,0,2,7,3,4,1,2,0,3,"Battal","Battal",36252589,2980496,0,610822,0,0,0,1438607,411,29,42,30,30,0,0
6,1,6,0,254,0,2,6,4,0,0,3,0,3,"Shangla","Besham",10651171,1206509,0,2560,0,0,0,458674,131,30,20,45,30,0,0
6,1,6,0,799,0,2,7,2,1,4,1,0,5,"Huripur","Best Way Cement",0,0,0,0,0,0,0,30305280,8649,35,30,45,30,0,0
6,1,6,0,1006,0,2,7,3,5,1,2,0,5,"Villages","Cattar Class",0,0,0,0,0,2379383,679,0,0,1,1,1,1,100,100
6,1,6,0,24,0,2,6,7,1,1,2,0,3,"Chakdara","Chakdara",156221329,20079979,8277,1872656,2091795,1151105,329,16856170,4811,45,43,43,45,0,0
6,1,6,0,26,0,2,1,2,1,1,1,0,3,"Charsadda","Charsadda",89328967,16223796,35863,1042925,531336,10447,3,4197403,1198,24,21,31,30,0,0
