"area_code","power_market","load_center","transient_grid_flag","grid_no","proposed_grid_no","province","division","district","area","sub_area","area_type","year","consumer_type","name_of_area","name_of_sub_area","domestic","commercial","public_light","small_industry","public_tube_well","bulk","bulk_demand","medium_large_industry","medium_large_industry_demand","domestic_load_factor","commercial_load_factor","small_industry_load_factor","public_tube_well_load_factor","small_industry_coincidence_factor","public_tube_well_coincidence_factor"
3,1,9,0,16,0,3,3,3,3,1,3,0,3,"Jhang","BHAMB",90180728,5628258,799,2294195,79663142,11997,15.08,4682691,5444.16,30,30,30,30,0,0
3,1,2,0,28,0,3,3,1,2,1,1,0,3,"Faisalabad","CHINIOT ROAD",155117106,17059170,275262,9121484,119311,2682519,1306.06,261773348,77064.11,30,30,30,30,0,0
3,1,2,0,47,0,3,3,4,7,1,1,0,3,"T.T.Singh","GOJRA",197510201,14781518,54901,9999223,14869047,53131,13.83,62508908,25254.74,30,30,30,30,0,0
3,1,2,0,61,0,3,3,3,3,2,3,0,3,"Jhang","HAVELI B.SHAH",47166985,3982747,0,1059443,21912849,224177,174.51,6403871,3145.74,30,30,30,30,0,0
3,1,2,0,73,0,3,3,1,2,2,2,0,3,"Faisalabad","JARANWALA",184041596,14457909,281117,5257127,28470442,92740,26.32,37207031,17806.86,30,30,30,30,0,0
3,1,9,0,76,0,3,8,2,4,1,2,0,3,"Khushab","JOHARABAD",189349657,18831428,90155,2996736,14424020,438469,180.44,33145711,17047.7,30,30,30,30,0,0
3,1,2,0,78,0,3,3,3,3,3,1,0,3,"Jhang","JHANG-1",192052660,24455066,549940,9272376,38311266,678040,291.77,42090438,29971.74,30,30,30,30,0,0
3,1,2,0,79,0,3,3,1,2,3,1,0,3,"Faisalabad","JHANG ROAD",242844339,22778944,360138,42706862,1220677,11794135,4795.56,229740634,89166.33,30,30,30,30,0,0
3,1,2,0,93,0,3,3,4,7,2,2,0,3,"T.T.Singh","KAMALIA",112945235,8073690,135304,9443759,58481966,126226,122.6,16168579,14805.27,30,30,30,30,0,0
3,1,2,0,108,0,3,3,3,3,4,3,0,3,"Jhang","KHEWA",33131531,1963016,0,1334634,63729886,0,0,420505,1126.15,30,30,30,30,0,0
3,1,9,0,115,0,3,8,1,6,1,3,0,3,"Sargodha","KUD LATHI",81440144,5591002,8044,2333063,19056263,0,0,5626912,4854.78,30,30,30,30,0,0
3,1,1,0,134,0,3,8,3,5,1,1,0,3,"Mianwali","MIANWALI",109794377,12394279,122757,1230055,42427442,10556170,4454.7,2239305,5437.84,30,30,30,30,0,0
3,1,2,0,143,0,3,3,1,2,4,1,0,3,"Faisalabad","NARWALA ROAD",139295608,7565346,79023,36185467,2688022,0,0,136759103,46113.52,30,30,30,30,0,0
3,1,1,0,160,0,3,8,3,5,2,3,0,3,"Mianwali","PIPLAN",80953920,6100431,51826,1106953,3394241,4013,3,6110291,6633.81,30,30,30,30,0,0
3,1,2,0,192,0,3,3,1,2,5,3,0,3,"Faisalabad","SHAHKOT",4811770,108067,0,83119,57358,0,0,34406569,13557.72,30,30,30,30,0,0
3,1,2,0,205,0,3,3,1,2,6,1,0,3,"Faisalabad","SUMANDRI ROAD",251160843,17443616,496299,28121740,380368,328177,145.27,147598285,53098.4,30,30,30,30,0,0
3,1,1,0,226,0,3,8,2,4,2,3,0,3,"Khushab","ADHI KOT",38744048,3447235,3268,208580,1143497,9040,543.32,5687276,2889.16,30,30,30,30,0,0
3,1,5,0,227,0,3,3,3,3,5,2,0,3,"Jhang","AHMAD PUR SIAL",45455331,3280377,22767,838603,3601766,0,0,3850017,3447.09,30,30,30,30,0,0
3,1,2,0,231,0,3,3,3,3,6,3,0,5,"Jhang","ASHIANA MILL",0,0,0,0,0,0,0,16060500,3410,30,30,30,30,0,0
3,1,9,0,242,0,3,8,1,6,2,3,0,3,"Sargodha","BHABRA",31923764,1961822,0,1415667,5520804,0,0,7135140,3729.31,30,30,30,30,0,0
3,1,9,0,243,0,3,8,1,6,3,2,0,3,"Sargodha","BHALWAL",124019831,12226426,87620,6891267,4810307,9185,6.99,35697062,19134.42,30,30,30,30,0,0
3,1,2,0,244,0,3,3,2,3,1,3,0,3,"Chiniot","BHAWANA",47037196,3048568,236,1203908,71548433,2841489,671.31,2214542,2153.23,30,30,30,30,0,0
3,1,1,0,250,0,3,8,3,5,3,2,0,5,"Mianwali","CHASHMA",26868231,2374233,811,320863,74610,13179903,3223.82,1253229,1555.5,30,30,30,30,0,0
3,1,2,0,255,0,3,3,3,3,7,3,0,3,"Jhang","CHUTIANA",44462296,3070401,50144,1095121,5207243,1815030,1335.38,3167371,3352.17,30,30,30,30,0,0
3,1,1,0,275,0,3,8,3,5,4,3,0,3,"Mianwali","FAZIL",35302643,2452470,0,416817,1556034,0,0,1000257,1754.49,30,30,30,30,0,0
3,1,1,0,298,0,3,8,3,5,5,3,0,3,"Mianwali","KALA BAGH",28146217,1804521,186810,183811,11820036,195620,110,1174037,1449.91,30,30,30,30,0,0
3,1,1,0,322,0,3,8,4,1,1,3,0,3,"Bhakkar","MANKERA",15426993,1165136,10519,55803,5075590,0,0,13019820,3393.54,30,30,30,30,0,0
3,1,2,0,331,0,3,3,1,2,7,3,0,3,"Faisalabad","MURID WALA",86738917,5052243,35556,1660739,27230744,3426,39.99,5536081,5458.66,30,30,30,30,0,0
3,1,1,0,333,0,3,8,4,1,2,3,0,3,"Bhakkar","RAKH DAGRAN",47950996,3007095,480,361912,1655937,0,0,1767721,1777.29,30,30,30,30,0,0
3,1,2,0,334,0,3,3,4,7,3,3,0,3,"T.T.Singh","NIA LAHORE",55848415,3391109,0,1429833,21973362,23132,5.79,20574486,5458.1,30,30,30,30,0,0
3,1,2,0,339,0,3,3,1,2,8,1,0,3,"Faisalabad","OLD THERMAL",34780608,25938574,291975,331474,0,929120,372.11,7421897,6229.8,30,30,30,30,0,0
3,1,1,0,352,0,3,8,3,5,6,3,0,3,"Mianwali","MAKAR WAL",16837213,471103,0,87821,16345020,8951720,2466.76,3151730,1070.8,30,30,30,30,0,0
3,1,9,0,363,0,3,8,1,6,4,3,0,3,"Sargodha","SARGODHA",183857336,30225615,257454,4562071,1818432,3253945,1067.07,15754471,23339.43,30,30,30,30,0,0
3,1,2,0,371,0,3,3,2,3,2,3,0,5,"Chiniot","SHAMAS",0,0,0,0,0,0,0,6937680,1999.99,30,30,30,30,0,0
3,1,2,0,373,0,3,3,3,3,8,2,0,3,"Jhang","SHOR KOT CITY",72376714,6652842,116516,1960305,11379145,6796920,1133.32,9933559,8534.27,30,30,30,30,0,0
3,1,1,0,395,0,3,8,3,5,7,3,0,3,"Mianwali","TRAG",38292972,2829310,0,349471,15304891,0,0,1191118,2261.2,30,30,30,30,0,0
3,1,2,0,420,0,3,3,1,2,8,1,0,3,"Faisalabad","220KV JARANWALA ROAD.",137150882,16857649,417314,4839137,110970,0,0,46212252,19014.24,30,30,30,30,0,0
3,1,2,0,421,0,3,3,1,2,9,3,0,3,"Faisalabad","MANJALA BAGH",43318092,2225245,0,1438468,43417504,347560,130.26,5380309,2795.75,30,30,30,30,0,0
3,1,9,0,422,0,3,8,1,6,5,3,0,3,"Sargodha","JAHANIAN SHAH",15981427,911939,0,333037,2829007,0,0,1277920,1551.74,30,30,30,30,0,0
3,1,9,0,423,0,3,8,2,4,3,3,0,3,"Khushab","JAHANIAN SHAH",30574929,2329913,0,411382,1160631,0,0,611752,878.36,30,30,30,30,0,0
3,1,9,0,425,0,3,8,1,6,6,2,0,3,"Sargodha","PATHAN KOT",10997576,655058,0,170872,337083,9480,9,1422217,1418,30,30,30,30,0,0
3,1,2,0,431,0,3,3,1,2,11,1,0,3,"Faisalabad","OLD THERMAL",225769220,43888503,1187173,11385092,6381,6292170,1869.74,74867710,45461.63,30,30,30,30,0,0
3,1,5,0,441,0,3,3,3,3,9,3,0,3,"Jhang","MEHMOOD KOT",47496559,4115942,8150,954732,4254825,124275,38.97,3527974,4362.57,30,30,30,30,0,0
3,1,5,0,442,0,3,3,3,3,10,3,0,3,"Jhang","18-HAZARI",58288123,3531571,0,963538,11945130,0,0,2685565,4044.92,30,30,30,30,0,0
3,1,1,0,458,0,3,8,3,5,8,3,0,3,"Mianwali","DAUD KHEL",20928028,1339269,2875,221466,1557274,153200,11.66,4552453,3305.49,30,30,30,30,0,0
3,1,2,0,459,0,3,3,1,2,12,1,0,3,"Faisalabad","TANDLIAN WALA",98623545,5602378,76814,2649317,46420566,174782,72.05,9171306,7443.48,30,30,30,30,0,0
3,1,2,0,475,0,3,3,1,2,13,1,0,3,"Faisalabad","AGRI UNIVERSITY",212250714,44822290,892555,69716568,46597,6771293,3155.42,134069506,62235.18,30,30,30,30,0,0
3,1,9,0,523,0,3,8,1,6,7,3,0,3,"Sargodha","S.PUR NOON",33944416,2514948,0,735857,4949579,76389,17.59,4673459,2283.23,30,30,30,30,0,0
3,1,9,0,524,0,3,8,1,6,8,3,0,3,"Sargodha","SAR-LUDEWALA",79612841,6553787,27004,1177581,334664,1635040,653.32,13070302,8644.15,30,30,30,30,0,0
3,1,1,0,525,0,3,8,4,1,4,3,0,3,"Bhakkar","BEHAL",29669453,1673685,586,1164068,6796070,0,0,1310282,971.06,30,30,30,30,0,0
3,1,9,0,526,0,3,3,2,3,3,3,0,3,"Chiniot","BARANA",56804579,5064960,26395,1785077,24362326,409920,151.71,4759321,4382.51,30,30,30,30,0,0
3,1,1,0,581,0,3,8,3,5,10,3,0,3,"Mianwali","WAN BUCHRAN",30140834,1564699,0,423222,36038752,0,0,4406192,4691.51,30,30,30,30,0,0
3,1,9,0,585,0,3,8,1,6,9,3,0,3,"Sargodha","HEAD FAQIRIAN",52516753,3205400,245,2097286,2016155,0,0,4310459,3138.82,30,30,30,30,0,0
3,1,2,0,595,0,3,3,1,2,14,1,0,3,"Faisalabad","CHAK  JHUMRA",112139924,6190267,13329,3981735,4188243,600294,210.12,21415578,12701.49,30,30,30,30,0,0
3,1,9,0,597,0,3,8,2,4,4,2,0,3,"Khushab","NOOR PUT SETHI",5677567,597049,0,18022,31615,0,0,4194291,2545.88,30,30,30,30,0,0
3,1,9,0,598,0,3,8,2,4,5,2,0,3,"Khushab","QUAID ABAD",44246582,3529535,1727,889745,14002742,0,0,11294336,14514.71,30,30,30,30,0,0
3,1,9,0,601,0,3,8,1,6,10,1,0,3,"Sargodha","TALIB WALA",108534371,15171172,95162,1921625,3461686,8399120,3340.08,33338366,22408.78,30,30,30,30,0,0
3,1,2,0,618,0,3,3,1,2,15,1,0,3,"Faisalabad","FACTORY AREA",159989134,47570162,795397,16147516,0,5262006,1804.56,57242882,18007.92,30,30,30,30,0,0
3,1,2,0,641,0,3,3,2,3,4,2,0,3,"Chiniot","CHINIOT",142331854,16206485,346943,6397920,50409118,4505552,1652.92,32764206,23789.49,30,30,30,30,0,0
3,1,2,0,648,0,3,3,1,2,16,3,0,5,"Faisalabad","SITARA CHEMICAL",0,0,0,0,0,0,0,25661520,10080,30,30,30,30,0,0
3,1,2,0,649,0,3,3,1,2,17,3,0,5,"Faisalabad","M.T.M. MILLS",0,0,0,0,0,0,0,9278400,7480,30,30,30,30,0,0
3,1,2,0,673,0,3,3,1,2,18,1,0,3,"Faisalabad","KHURRIANWALA",61827723,8355302,344072,1543666,500234,0,0,272477132,73154.29,30,30,30,30,0,0
3,1,9,0,674,0,3,8,2,4,6,2,0,5,"Khushab","GROAT",0,0,0,0,0,0,0,0,0,30,30,30,30,0,0
3,1,1,0,686,0,3,8,4,1,5,3,0,3,"Bhakkar","HYDER ABAD THAL",9438749,856244,0,80355,986667,0,0,710922,617.96,30,30,30,30,0,0
3,1,2,0,701,0,3,3,1,2,19,1,0,5,"Faisalabad","RAFHAN",0,0,0,0,0,0,0,42147000,6223.16,30,30,30,30,0,0
3,1,1,0,703,0,3,8,2,4,7,3,0,5,"Khushab","PIONEER CEMENT",0,0,0,0,0,0,0,131562979,41112,30,30,30,30,0,0
3,1,1,0,704,0,3,8,3,5,11,2,0,5,"Mianwali","A.E.C. CHASHMA",0,0,0,0,0,0,0,0,0,30,30,30,30,0,0
3,1,2,0,739,0,3,3,1,2,20,3,0,5,"Faisalabad","J.K.TECH MILLS.",0,0,0,0,0,384000,156.66,3168240,10136,30,30,30,30,0,0
3,1,2,0,759,0,3,8,4,1,6,3,0,3,"Bhakkar","BHAKKAR",153801515,14047373,236374,2867102,16492742,87470778,25794.99,6536370,11837.9,30,30,30,30,0,0
3,1,1,0,779,0,3,8,3,5,12,2,0,5,"Mianwali","PAEC CHASHMA (MIANWALI)",0,0,0,0,0,0,0,0,0,30,30,30,30,0,0
3,1,2,0,790,0,3,3,1,2,21,1,0,3,"Faisalabad","220KV SUMMANDRI ROAD",66471293,3869680,19438,2026479,527463,17487600,14016,5626958,4996.31,30,30,30,30,0,0
3,1,1,0,793,0,3,8,3,5,13,3,0,3,"Mianwali","220KV MARI INDUS",8585636,404063,0,29651,714583,0,0,290314,424.79,30,30,30,30,0,0
3,1,2,0,824,0,3,3,1,2,22,1,0,3,"Faisalabad","INDUSTRIAL ESTATE",58896775,3183552,295082,2962737,3852629,10379194,3767.45,112577337,36919.31,30,30,30,30,0,0
3,1,2,0,853,0,3,3,1,2,23,1,0,3,"Faisalabad","NISHATABAD",133077927,13002581,159784,10757043,277386,1208050,743.31,50720404,24533.64,30,30,30,30,0,0
3,1,2,0,856,0,3,3,3,3,11,1,0,3,"Jhang","JHANG-2",78165868,4590660,134095,6753459,24274367,23480,22.6,37480680,17396.13,30,30,30,30,0,0
3,1,2,0,862,0,3,3,1,2,24,3,0,3,"Faisalabad","BANDALA",32955559,1515269,0,1025848,320395,2412,2,198403746,54439.23,30,30,30,30,0,0
3,1,2,0,867,0,3,3,1,2,25,2,0,3,"Faisalabad","SCARP COLONY",55908325,4044892,371196,5027683,318436,0,0,164251259,43023.81,30,30,30,30,0,0
3,1,9,0,873,0,3,8,1,6,11,1,0,3,"Sargodha","220KV LUDEWAL",21430439,2723353,14245,367865,515123,2021865,449.71,3453927,3576.44,30,30,30,30,0,0
3,1,2,0,890,0,3,3,1,2,26,3,0,5,"Faisalabad","REFHAN MAIZE JRW",0,0,0,0,0,0,0,1238400,7160,30,30,30,30,0,0
3,1,9,0,908,0,3,8,1,6,12,2,0,3,"Sargodha","KIRANA",110950341,19441337,219546,710862,166488,4324384,2988.55,8098609,8844.44,30,30,30,30,0,0
3,1,2,0,915,0,3,3,1,2,27,1,0,5,"Faisalabad","A.A. SPINNING MILL",0,0,0,0,0,0,0,9724000,5976.16,30,30,30,30,0,0
3,1,2,0,918,0,3,3,4,7,4,2,0,3,"T.T.Singh","T.T.SINGH",144812575,13445666,29769,4645586,2330650,1219532,1615.33,8710857,12250.05,30,30,30,30,0,0
3,1,2,0,947,0,3,3,1,2,28,2,0,3,"Faisalabad","SATIANA",64486762,2592045,0,1825882,5526358,0,0,43399781,16026.37,30,30,30,30,0,0
3,1,2,0,948,0,3,3,4,7,5,2,0,3,"T.T.Singh","PIR MAHAL",121234310,8854123,105974,3377485,53117430,4546,4,26288552,13536.02,30,30,30,30,0,0
3,1,2,0,953,0,3,3,1,2,29,2,0,3,"Faisalabad","THEKRIWALA",74697289,5695057,0,7876271,5633442,11873,5,113789368,35293.22,30,30,30,30,0,0
