"area_code","power_market","load_center","transient_grid_flag","grid_no","proposed_grid_no","province","division","district","area","sub_area","area_type","year","consumer_type","name_of_area","name_of_substation","domestic","commercial","public_light","small_industry","public_tube_well","bulk_energy","bulk_demand","medium_large_industry_energy","medium_large_industry_demand","domestic_load_factor","commercial_load_factor","small_industry_load_factor","public_tube_well_load_factor","small_industry_coincidence_factor","public_tube_well_coincidence_factor"
2,1,3,0,32,0,3,4,1,1,1,1,0,3,"Gujranwala","COLLEGE ROAD",222247132,17326972,55324,74733509,1862280,370000,480,122245975,44662,48,47,30,0,0,0
2,1,3,0,44,0,3,4,1,1,1,2,0,3,"GHAKKAR","GHAKKAR",107324915,8029704,24930,4243746,12789739,24886110,6651,26230870,11432,51,40,45,45,0,0
2,1,3,0,50,0,3,4,1,1,1,1,0,3,"Gujranwala","Shahinabad",173068710,42693836,359058,38732084,72657,3553356,1783,127415345,54331,58,50,0,0,0,0
2,1,3,0,51,0,3,4,2,1,1,1,0,3,"Gujrat","GUJRAT-1",141135856,20610439,277815,7838608,2257498,338120,169,38887625,16308,50,39,37,0,0,0
2,1,3,0,55,0,3,4,3,1,1,3,0,3,"HFD","HAFIZABAD",129315129,11917049,70893,12643975,39447113,814440,486,13541223,7313,43,29,0,0,0,0
2,1,3,0,62,0,3,4,4,2,1,1,0,3,"MANDI(MBD)","HELLAN",75485634,4123137,0,478062,8167192,0,0,3618408,3249,32,24,0,0,0,0
2,1,3,0,67,0,3,4,2,2,1,2,0,3,"JALALPUR JATTAN","JALALPUR JATTA",159878321,11201098,122286,5468251,1807789,25097955,5740,3571625,2334,39,29,0,0,0,0
2,1,3,0,85,0,3,4,4,2,1,3,0,3,"KATHILA SHEIKHAN","KATHILA SHEIKH",125370062,6776428,48897,3088634,7844118,0,0,4525275,4172,34,23,0,0,0,0
2,1,3,0,94,0,3,4,1,1,1,3,0,3,"Kamokey","KAMOKEY",132461003,12913126,0,13783830,11111843,29620,10,113273996,40075,78,70,0,0,0,0
2,1,3,0,107,0,3,4,2,1,1,1,0,3,"KHARIAN","KHARIAN",124005645,16181583,159836,995571,1164697,34677432,9520,2379720,1970,38,36,0,0,0,0
2,1,3,0,116,0,3,4,2,2,1,2,0,3,"LALAMUSA","LALAMUSA",171053103,16194383,26898,2390650,4417941,608494,190,7970316,4975,42,38,0,0,0,0
2,1,3,0,142,0,3,4,5,2,1,1,0,3,"Narowal","NAROWAL",132485705,11449927,93583,2692714,15332358,1203021,548,13157506,6277,39,28,0,0,0,0
