"area_code","power_market","load_center","transient_grid_flag","grid_no","proposed_grid_no","province","division","district","area","sub_area","area_type","year","consumer_type","name_of_area","name_of_sub_area","domestic","commercial","public_light","small_industry","public_tube_well","bulk","bulk_demand","medium_large_industry","medium_large_industry_demand","domestic_load_factor","commercial_load_factor","small_industry_load_factor","public_tube_well_load_factor","small_industry_coincidence_factor","public_tube_well_coincidence_factor"
5,1,5,0,2,0,3,1,2,1,1,3,0,3,"Ahmad Pur East","132 KV A.P Eaast",111776195,11178379,162483,3840014,22418078,3465965,198,9519453,543,40,40,0,0,0,0
5,1,5,0,2,0,3,1,2,1,1,3,1,0,NA,NA,26387748,3096660,0,3029208,5292792,0,0,0,0,30,25,0,0,0,0
5,1,5,0,2,0,3,1,2,1,1,3,2,0,NA,NA,26387748,3096660,0,3029208,5292792,0,0,0,0,30,25,0,0,0,0
5,1,5,0,2,0,3,1,2,1,1,3,3,0,NA,NA,26387748,3096660,0,3029208,5292792,0,0,0,0,30,25,0,0,0,0
5,1,5,0,2,0,3,1,2,1,1,3,4,0,NA,NA,26387748,3096660,0,3029208,5292792,0,0,0,0,30,25,0,0,0,0
5,1,5,0,2,0,3,1,2,1,1,3,5,0,NA,NA,26387748,3096660,0,3029208,5292792,0,0,0,0,30,25,0,0,0,0
5,1,5,0,2,0,3,1,2,1,1,3,6,0,NA,NA,26387748,3096660,0,3029208,5292792,0,0,0,0,30,25,0,0,0,0
5,1,5,0,2,0,3,1,2,1,1,3,7,0,NA,NA,26387748,3096660,0,3029208,5292792,0,0,0,0,30,25,0,0,0,0
5,1,5,0,2,0,3,1,2,1,1,3,8,0,NA,NA,26387748,3096660,0,3029208,5292792,0,0,0,0,30,25,0,0,0,0
5,1,5,0,2,0,3,1,2,1,1,3,9,0,NA,NA,26387748,3096660,0,3029208,5292792,0,0,0,0,30,25,0,0,0,0
5,1,5,0,2,0,3,1,2,1,1,3,10,0,NA,NA,26387748,3096660,0,3029208,5292792,0,0,0,0,30,25,0,0,0,0
5,1,8,0,5,0,3,9,1,1,1,3,0,3,"Arifwala","132 KV Arifwala",156430811,13579868,44058,4353176,75226819,15239,1,40366820,2304,25,25,0,0,0,0
5,1,8,0,5,0,3,9,1,1,1,3,1,0,NA,NA,4134474,100915,0,226402,9037692,0,0,0,0,30,25,0,0,0,0
5,1,8,0,5,0,3,9,1,1,1,3,2,0,NA,NA,4134474,100915,0,226402,9037692,0,0,544259,0,30,25,0,0,0,0
5,1,8,0,5,0,3,9,1,1,1,3,3,0,NA,NA,4134474,100915,0,226402,9037692,0,0,0,0,30,25,0,0,0,0
5,1,8,0,5,0,3,9,1,1,1,3,4,0,NA,NA,4134474,100915,0,226402,9037692,0,0,0,0,30,25,0,0,0,0
5,1,8,0,5,0,3,9,1,1,1,3,5,0,NA,NA,4134474,100915,0,226402,9037692,0,0,0,0,30,25,0,0,0,0
5,1,8,0,5,0,3,9,1,1,1,3,6,0,NA,NA,4134474,100915,0,226402,9037692,0,0,0,0,30,25,0,0,0,0
5,1,8,0,5,0,3,9,1,1,1,3,7,0,NA,NA,4134474,100915,0,226402,9037692,0,0,0,0,30,25,0,0,0,0
5,1,8,0,5,0,3,9,1,1,1,3,8,0,NA,NA,4134474,100915,0,226402,9037692,0,0,0,0,30,25,0,0,0,0
5,1,8,0,5,0,3,9,1,1,1,3,9,0,NA,NA,4134474,100915,0,226402,9037692,0,0,0,0,30,25,0,0,0,0
5,1,8,0,5,0,3,9,1,1,1,3,10,0,NA,NA,4134474,100915,0,226402,9037692,0,0,0,0,30,25,0,0,0,0
5,1,5,0,8,0,3,1,2,1,1,1,0,3,"Bahawal Pur","132 KV Bahawal Pur",163557929,33192618,676151,2617446,6371191,40311551,2301,24439977,1395,40,35,0,0,0,0
5,1,5,0,8,0,3,1,2,1,1,1,1,0,NA,NA,3279744,2091888,0,382812,199728,0,0,0,0,40,35,0,0,0,0
5,1,5,0,8,0,3,1,2,1,1,1,2,0,NA,NA,3279744,2091888,0,382812,199728,0,0,0,0,40,35,0,0,0,0
5,1,5,0,8,0,3,1,2,1,1,1,3,0,NA,NA,3279744,2091888,0,382812,199728,0,0,0,0,40,35,0,0,0,0
5,1,5,0,8,0,3,1,2,1,1,1,4,0,NA,NA,3279744,2091888,0,382812,199728,0,0,0,0,40,35,0,0,0,0
5,1,5,0,8,0,3,1,2,1,1,1,5,0,NA,NA,3279744,2091888,0,382812,199728,0,0,0,0,40,35,0,0,0,0
5,1,5,0,8,0,3,1,2,1,1,1,6,0,NA,NA,3279744,2091888,0,382812,199728,0,0,0,0,40,35,0,0,0,0
5,1,5,0,8,0,3,1,2,1,1,1,7,0,NA,NA,3279744,2091888,0,382812,199728,0,0,0,0,40,35,0,0,0,0
5,1,5,0,8,0,3,1,2,1,1,1,8,0,NA,NA,3279744,2091888,0,382812,199728,0,0,0,0,40,35,0,0,0,0
5,1,5,0,8,0,3,1,2,1,1,1,9,0,NA,NA,3279744,2091888,0,382812,199728,0,0,0,0,40,35,0,0,0,0
5,1,5,0,8,0,3,1,2,1,1,1,10,0,NA,NA,3279744,2091888,0,382812,199728,0,0,0,0,40,35,0,0,0,0
5,1,8,0,9,0,3,1,1,1,1,1,0,3,"Bahawal Nagar","132 KV B/Nagar",135122727,16609275,18467,3196002,18553735,4373787,250,50394234,2876,40,35,0,0,0,0
5,1,8,0,9,0,3,1,1,1,1,2,1,0,NA,NA,14292816,2067360,0,1366560,13791744,0,0,0,0,35,30,0,0,0,0
5,1,8,0,9,0,3,1,1,1,1,2,2,0,NA,NA,14292816,2067360,0,1366560,13791744,0,0,0,0,35,30,0,0,0,0
5,1,8,0,9,0,3,1,1,1,1,2,3,0,NA,NA,14292816,2067360,0,1366560,13791744,0,0,11678832,0,35,30,0,0,0,0
5,1,8,0,9,0,3,1,1,1,1,2,4,0,NA,NA,14292816,2067360,0,1366560,13791744,0,0,0,0,35,30,0,0,0,0
5,1,8,0,9,0,3,1,1,1,1,2,5,0,NA,NA,14292816,2067360,0,1366560,13791744,0,0,0,0,35,30,0,0,0,0
5,1,8,0,9,0,3,1,1,1,1,2,6,0,NA,NA,14292816,2067360,0,1366560,13791744,0,0,0,0,35,30,0,0,0,0
5,1,8,0,9,0,3,1,1,1,1,2,7,0,NA,NA,14292816,2067360,0,1366560,13791744,0,0,0,0,35,30,0,0,0,0
5,1,8,0,9,0,3,1,1,1,1,2,8,0,NA,NA,14292816,2067360,0,1366560,13791744,0,0,0,0,35,30,0,0,0,0
5,1,8,0,9,0,3,1,1,1,1,2,9,0,NA,NA,14292816,2067360,0,1366560,13791744,0,0,0,0,35,30,0,0,0,0
5,1,8,0,9,0,3,1,1,1,1,2,10,0,NA,NA,14292816,2067360,0,1366560,13791744,0,0,0,0,35,30,0,0,0,0
5,1,5,0,12,0,3,6,2,1,1,3,0,3,"Basti Malook","132 KV Basti Malook",69016038,4021712,0,2291530,60739955,0,0,21456367,1225,30,25,0,0,0,0
5,1,5,0,12,0,3,6,2,1,1,3,1,0,NA,NA,4730400,393324,0,588672,2098896,0,0,0,0,30,25,0,0,0,0
5,1,5,0,12,0,3,6,2,1,1,3,2,0,NA,NA,4730400,393324,0,588672,2098896,0,0,0,0,30,25,0,0,0,0
5,1,5,0,12,0,3,6,2,1,1,3,3,0,NA,NA,4730400,393324,0,588672,2098896,0,0,0,0,30,25,0,0,0,0
5,1,5,0,12,0,3,6,2,1,1,3,4,0,NA,NA,4730400,393324,0,588672,2098896,0,0,0,0,30,25,0,0,0,0
5,1,5,0,12,0,3,6,2,1,1,3,5,0,NA,NA,4730400,393324,0,588672,2098896,0,0,0,0,30,25,0,0,0,0
