"area_code","power_market","load_center","transient_grid_flag","grid_no","proposed_grid_no","province","division","district","area","sub_area","area_type","year","consumer_type","name_of_area","name_of_sub_area","domestic","commercial","public_light","small_industry","public_tube_well","bulk","bulk_demand","medium_large_industry","medium_large_industry_demand","domestic_load_factor","commercial_load_factor","small_industry_load_factor","public_tube_well_load_factor","small_industry_coincidence_factor","public_tube_well_coincidence_factor"
6,1,6,0,4,0,2,3,1,1,2,1,0,3,"Abbottabad","Abbottabad",106651296,24860774,304875,1011179,47519,9395017,2681,6055057,1728,66,65,45,42,0,0
6,1,6,0,225,0,2,7,1,1,3,1,0,3,"Abbottabad","AMC Abbottabad",71438366,15411540,21520,1371799,18725,10805008,3084,5533913,1579,70,70,70,70,0,0
6,1,6,0,784,0,2,1,3,7,1,3,0,5,"Villages","AWT Nizampur",0,0,0,0,0,0,0,134629560,38422,35,30,45,30,0,0
6,1,6,0,235,0,2,1,1,1,2,1,0,3,"Peshawar","Badaber",7661651,951215,0,62553,542121,5514120,1574,50035,14,19,22,20,20,0,0
6,1,6,0,580,0,2,7,3,5,1,2,0,3,"Balakot","Balakot",32758537,4259911,282,99572,0,0,0,82463,24,46,45,45,30,0,0
6,1,6,0,239,0,2,5,1,3,1,2,0,3,"Bandkuri","Bandkuri",45308655,2015486,0,2723964,1642744,0,0,1542790,440,60,60,50,50,0,0
6,1,6,0,11,0,2,4,1,1,1,1,0,3,"Bannu","Bannu",68394144,9274796,0,2861876,857564,1104666,315,5723714,1633,16,20,17,17,0,0
6,1,6,0,1153,0,2,6,1,6,1,3,0,3,"Swat","Barikot",32729040,2149360,0,372573,1347068,0,0,349796,100,26,26,50,40,0,0
6,1,6,0,14,0,2,7,3,4,1,2,0,3,"Battal","Battal",35634291,2917042,0,763067,0,36126,10,1487831,425,30,42,30,30,0,0
6,1,6,0,254,0,2,6,4,0,0,3,0,3,"Shangla","Besham",5155560,772526,0,196,0,0,0,60136,17,28,20,45,30,0,0
6,1,6,0,799,0,2,7,2,1,4,1,0,5,"Huripur","Best Way Cement",0,0,0,0,0,0,0,33859680,9663,35,30,45,30,0,0
6,1,6,0,1006,0,2,7,3,5,1,2,0,5,"Villages","Cattar Class",0,0,0,0,0,3109656,887,0,0,1,1,1,1,100,100
6,1,6,0,24,0,2,6,7,1,1,2,0,3,"Chakdara","Chakdara",154038755,18180075,7869,1600000,1844428,992218,283,45125925,12878,39,45,43,45,0,0
6,1,6,0,26,0,2,1,2,1,1,1,0,3,"Charsadda","Charsadda",85541706,16878446,102824,1080404,527284,82857,24,11507822,3284,27,27,30,30,0,0
6,1,6,0,744,0,0,5,1,0,0,3,0,3,"D I Khan","Chashma",7881050,439265,0,282663,273938,0,0,734653,210,49,48,45,30,0,0
6,1,6,0,1004,0,2,1,3,12,1,3,0,5,"Villages","Cherat Cement",0,0,0,0,0,0,0,135237849,38595,35,30,45,30,0,0
6,1,6,0,463,0,2,6,6,1,1,2,0,3,"Chitral","Chitral H/P",955875,278414,0,10148,0,16855,5,0,0,35,30,45,30,0,0
6,1,6,0,717,0,2,7,2,1,1,1,0,5,"Huripur","Consumer GS",0,0,0,0,0,0,0,142233120,40592,35,30,45,30,0,0
6,1,6,0,34,0,2,5,1,1,1,1,0,3,"D.I.Khan","D.I KHAN",182835553,17060816,4502,2805680,394657,4768981,1361,22131298,6316,40,37,40,30,0,0
6,1,6,0,258,0,2,6,3,13,1,3,0,3,"Daggar","Daggar",96313569,7109635,0,1652874,388952,0,0,51454854,14685,12,12,45,30,0,0
6,1,6,0,865,0,2,1,1,9,1,3,0,3,"Peshawar","Dalazak",56677391,4218331,4171,217063,47146,0,0,4504842,1286,23,30,35,30,0,0
6,1,6,0,262,0,2,6,5,1,1,2,0,3,"Dargai","Dargai",96108860,9182086,29557,757317,2020925,879944,251,132303331,37758,36,34,40,30,0,0
6,1,6,0,830,0,2,6,6,1,1,2,0,3,"Chitral","Darosh",9088776,658162,0,21594,0,0,0,0,0,40,40,40,60,0,0
6,1,6,0,625,0,2,6,2,2,1,2,0,3,"Dir","Dir",28491469,1902155,0,83916,0,0,0,97058,28,50,50,45,30,0,0
6,1,6,0,1100,0,2,2,2,0,0,3,0,3,"Swabi","Dobian",27713495,854095,0,394932,301703,0,0,419673,120,26,20,20,30,0,0
6,1,6,0,804,0,2,4,1,5,1,3,0,3,"Villages","Domail",43824919,1838438,0,2837295,972074,17032,5,3702313,1057,14,35,25,40,0,0
6,1,6,0,464,0,2,5,1,5,1,3,0,3,"Villages","Draban",16856209,606142,0,995821,71104,0,0,339311,97,30,33,45,30,0,0
6,1,6,0,627,0,2,2,2,9,1,3,0,3,"Villages","Gadoon Amazai",26779939,1268493,0,777209,706522,0,0,99662284,28442,12,17,15,15,0,0
6,1,6,0,678,0,2,6,6,1,1,2,0,3,"Chitral","Garam Chashma P/H",1155397,40568,0,0,0,0,0,0,0,12,12,45,30,0,0
6,1,6,0,1092,0,2,5,1,0,0,1,0,3,"D I Khan","Gomal University",16629339,1083720,0,346940,253232,0,0,3809904,1087,29,30,45,30,0,0
6,1,6,0,694,0,2,3,1,4,1,3,0,3,"Villages","Gumbat",27753458,1156460,0,142729,789626,0,0,18849,5,24,22,15,15,0,0
6,1,6,0,783,0,2,3,3,4,1,3,0,3,"Villages","Gurguri",5675302,110151,0,20531,17266,0,0,0,0,21,20,20,20,0,0
6,1,6,0,282,0,2,3,2,2,1,2,0,3,"Hangu","Hangu",56001066,5193598,9495,627724,338913,1113693,318,1201580,343,25,40,30,30,0,0
6,1,6,0,59,0,2,7,2,1,1,1,0,3,"Haripur","Haripur",144995027,25698216,541395,3014310,1405602,9357754,2671,23510083,6709,51,63,45,45,0,0
6,1,6,0,283,0,2,7,2,1,2,1,0,3,"Huripur","Haripur",37344423,3521977,28417,953805,191131,35804,10,3116987,890,45,45,45,30,0,0
6,1,6,0,638,0,2,7,2,2,1,2,0,3,"Hattar","Hattar",19759625,2679843,0,1382702,95259,0,0,437276891,124794,70,70,70,70,0,0
6,1,6,0,518,0,2,7,1,5,1,2,0,3,"Hattian","Hattian",0,0,0,0,0,51887440,14808,0,0,65,65,60,60,0,0
6,1,6,0,286,0,2,7,1,7,1,2,0,3,"Havalian","Havelian",15590471,2293050,4915,360321,73688,2103049,600,2756832,787,42,35,45,30,0,0
6,1,6,0,834,0,2,1,1,3,1,2,0,3,"Peshawar","Hayatabad",111225568,7216923,849689,476222,0,140040,40,24830953,7086,34,30,45,35,0,0
