"power_market","load_center","transient_grid_flag","grid_no"
1,3,0,32
1,3,0,44
1,3,0,50
1,3,0,51
1,3,0,55
1,3,0,62
1,3,0,67
1,3,0,85
1,3,0,94
1,3,0,107
1,3,0,116
1,3,0,142
1,3,0,157
1,3,0,163
1,3,0,187
1,3,0,201
1,3,0,214
1,3,0,222
1,3,0,242
1,3,0,263
1,3,0,273
1,3,0,280
1,3,0,299
1,3,0,321
1,3,0,323
1,3,0,343
1,3,0,375
1,3,0,377
1,3,0,379
1,3,0,405
1,3,0,444
1,3,0,445
1,3,0,446
1,3,0,467
1,3,0,469
1,3,0,509
1,3,0,510
1,3,0,511
1,3,0,585
1,3,0,591
1,3,0,600
1,3,0,623
1,3,0,632
1,3,0,644
1,3,0,670
1,3,0,698
1,3,0,725
1,3,0,738
1,3,0,802
1,3,0,813
1,3,0,814
1,3,0,823
1,3,0,902
1,3,0,917
1,3,0,954
1,3,0,969
1,3,0,974
1,3,0,1080
1,3,0,1081
1,3,0,1082
1,3,0,1086
1,3,0,1088
1,3,0,1094
1,3,0,1102
1,3,0,1119
1,3,0,1122
1,3,0,1155
1,3,0,1159
1,3,0,9444
1,3,0,9555
1,3,0,9666
