"area_code","power_market","load_center","transient_grid_flag","grid_no","proposed_grid_no","province","division","district","area","sub_area","area_type","year","consumer_type","name_of_area","name_of_sub_area","domestic","commercial","public_light","small_industry","public_tube_well","bulk","bulk_demand","medium_large_industry","medium_large_industry_demand","domestic_load_factor","commercial_load_factor","small_industry_load_factor","public_tube_well_load_factor","small_industry_coincidence_factor","public_tube_well_coincidence_factor"
8,4,1,0,170,0,1,4,4,1,1,1,0,3,"132KV QUETTA SARIAB","QUETTA SARIAB",71607342,18287138,2694384,1452168,88232542,9339186,5463,8190756,9478,50,30,0,55,0,0
8,4,1,0,448,0,1,4,4,1,1,1,0,3,"132KV QUETTA CITY","QUETTA CITY",61987890,27540963,432201,1200615,85624359,34438426,13248,5385657,5170,55,55,0,50,0,0
8,4,1,0,708,0,1,4,4,1,1,1,0,3,"132KV QUETTA INDUSTR","QUETTA INDUSTRIAL",40932470,9930178,2340462,1167280,118240018,2255589,1058,67584040,39441,20,20,0,10,0,0
8,4,1,0,1001,0,1,1,4,1,1,2,0,3,"132KV DARWAZA","DARWAZA",374927,19663,0,13365,102635158,0,0,2148625,1320,10,10,0,6,0,0
8,4,1,0,106,0,1,4,4,1,1,1,0,3,"132KV QUETTA MARRIAB","QUETTA MARRIABAD",46918083,20692152,513989,445242,20478574,21588800,8294,311656,962,45,25,24,48,0,0
8,4,1,0,349,0,1,4,4,1,1,3,0,3,"66KV SORANGE","SORANGE",822651,120907,0,130879,4846123,308240,112,7762812,5535,35,35,0,14,0,0
8,4,1,0,195,0,1,4,4,1,1,1,0,3,"132KV SHIEKH MANDA","SHIEKH MANDA",50043901,8422642,29422,955765,106230903,15637833,6316,2926211,5641,80,80,0,85,0,0
8,4,1,0,1019,0,1,4,4,1,1,2,0,3,"132 KV KUCHLACK","KUCHLACK",4917513,1079775,0,19837,23622985,287200,320,94869,189,10,10,0,7,0,0
8,4,1,0,161,0,1,4,2,1,1,2,0,3,"132KV PISHIN","PISHIN",9629473,2307311,28675,206240,189013674,304792,278,3985644,4268,15,15,0,35,0,0
8,4,1,0,403,0,1,4,2,1,1,2,0,3,"132KV YARU","YARU",3485158,718974,0,164947,74033015,31600,70,1749661,2693,20,20,0,35,0,0
8,4,1,0,230,0,1,4,2,1,1,2,0,3,"132KV ALIZAI","ALIZAI",1564227,75255,0,8624,65990164,0,0,0,44,20,10,0,8,0,0
8,4,1,0,1000,0,1,4,2,1,1,2,0,3,"132KV HURAMZAI","HURAMZAI",1483076,145230,0,32786,43863852,0,0,0,41,3,10,0,4,0,0
8,4,1,0,451,0,1,5,3,1,1,2,0,3,"132KV LORALAI","LORALAI",15303563,2934466,56088,389995,140303411,3095347,2033,1582652,3018,30,30,30,40,0,0
8,4,1,0,493,0,1,5,4,1,1,3,0,3,"132KV KINGRI","KINGRI",1993927,197321,0,216737,3759920,0,0,0,188,40,30,0,20,0,0
