"","area_code","power_market","load_center","transient_grid_flag","grid_no","proposed_grid_no","province","division","district","area","sub_area","area_type","year","consumer_type","name_of_area","name_of_sub_area","domestic","commercial","public_light","small_industry","public_tube_well","bulk","bulk_demand","medium_large_industry","medium_large_industry_demand","domestic_load_factor","commercial_load_factor","small_industry_load_factor","public_tube_well_load_factor","small_industry_coincidence_factor","public_tube_well_coincidence_factor","total_energy"
"1",3,1,9,0,16,0,3,3,3,3,1,3,0,3,"Jhang","BHAMB",90180728,5628258,799,2294195,79663142,11997,15,4682691,9944,34,33,30,30,30,30,182461810
"2",3,1,9,0,16,0,3,3,3,3,1,3,1,3,"Jhang","BHAMB",17644392,16556,0,105120,12751056,0,0,346020,90,34,33,30,30,30,30,30863144
"3",3,1,9,0,16,0,3,3,3,3,1,3,2,3,"Jhang","BHAMB",17644392,37843,0,105120,12751056,0,0,553413,180,34,33,30,30,30,30,31091824
"4",3,1,9,0,16,0,3,3,3,3,1,3,3,3,"Jhang","BHAMB",17644392,62441,0,105120,12751056,0,0,553413,180,34,33,30,30,30,30,31116422
"5",3,1,9,0,16,0,3,3,3,3,1,3,4,3,"Jhang","BHAMB",17644392,63135,0,105120,12751056,0,0,719437,234,34,33,30,30,30,30,31283140
"6",3,1,9,0,16,0,3,3,3,3,1,3,5,3,"Jhang","BHAMB",17644392,72154,0,105120,12751056,0,0,719437,234,34,33,30,30,30,30,31292159
"7",3,1,9,0,16,0,3,3,3,3,1,3,6,3,"Jhang","BHAMB",17644392,59035,0,105120,12751056,0,0,719437,234,34,33,30,30,30,30,31279040
"8",3,1,9,0,16,0,3,3,3,3,1,3,7,3,"Jhang","BHAMB",17644392,68875,0,105120,12751056,0,0,719437,234,34,33,30,30,30,30,31288880
"9",3,1,9,0,16,0,3,3,3,3,1,3,8,3,"Jhang","BHAMB",17644392,153492,0,105120,12751056,0,0,719437,234,34,33,30,30,30,30,31373497
"10",3,1,9,0,16,0,3,3,3,3,1,3,9,3,"Jhang","BHAMB",17644392,153492,0,105120,12751056,0,0,935268,304,34,33,30,30,30,30,31589328
"11",3,1,9,0,16,0,3,3,3,3,1,3,10,3,"Jhang","BHAMB",17644392,153492,0,105120,12751056,0,0,935268,304,34,33,30,30,30,30,31589328
"12",3,1,2,0,28,0,3,3,1,2,1,1,0,3,"Faisalabad","CHINIOT ROAD",155117106,17059170,275262,9121484,119311,2682519,1306,261773348,43564,45,40,35,30,30,30,446148200
"13",3,1,2,0,28,0,3,3,1,2,1,1,1,3,"Faisalabad","CHINIOT ROAD",37238760,22119,0,77088,0,0,0,1226400,400,45,40,35,30,30,30,38564367
"14",3,1,2,0,28,0,3,3,1,2,1,1,2,3,"Faisalabad","CHINIOT ROAD",37238760,48662,0,77088,0,0,0,1594320,520,45,40,35,30,30,30,38958830
"15",3,1,2,0,28,0,3,3,1,2,1,1,3,3,"Faisalabad","CHINIOT ROAD",37238760,42173,0,77088,0,0,0,1992900,650,45,40,35,30,30,30,39350921
"16",3,1,2,0,28,0,3,3,1,2,1,1,4,3,"Faisalabad","CHINIOT ROAD",37238760,42173,0,77088,0,0,0,2391480,780,45,40,35,30,30,30,39749501
"17",3,1,2,0,28,0,3,3,1,2,1,1,5,3,"Faisalabad","CHINIOT ROAD",37238760,46007,0,77088,0,0,0,2391480,780,45,40,35,30,30,30,39753335
"18",3,1,2,0,28,0,3,3,1,2,1,1,6,3,"Faisalabad","CHINIOT ROAD",37238760,38263,0,77088,0,0,0,3188640,1040,45,40,35,30,30,30,40542751
"19",3,1,2,0,28,0,3,3,1,2,1,1,7,3,"Faisalabad","CHINIOT ROAD",37238760,74614,0,77088,0,0,0,4145232,1352,45,40,35,30,30,30,41535694
"20",3,1,2,0,28,0,3,3,1,2,1,1,8,3,"Faisalabad","CHINIOT ROAD",37238760,74614,0,77088,0,0,0,4145232,1352,45,40,35,30,30,30,41535694
"21",3,1,2,0,28,0,3,3,1,2,1,1,9,3,"Faisalabad","CHINIOT ROAD",37238760,74614,0,77088,0,0,0,4145232,1352,45,40,35,30,30,30,41535694
"22",3,1,2,0,28,0,3,3,1,2,1,1,10,3,"Faisalabad","CHINIOT ROAD",37238760,74614,0,77088,0,0,0,4145232,1352,45,40,35,30,30,30,41535694
"23",3,1,2,0,47,0,3,3,4,7,1,1,0,3,"T.T.Singh","GOJRA",197510201,14781518,54901,9999223,14869047,53131,14,62508908,7263,45,40,35,32,30,30,299776929
"24",3,1,2,0,47,0,3,3,4,7,1,1,1,3,"T.T.Singh","GOJRA",8473110,16863,0,59568,398054,0,0,912135,297,45,40,35,32,30,30,9859730
"25",3,1,2,0,47,0,3,3,4,7,1,1,2,3,"T.T.Singh","GOJRA",8473110,33726,0,59568,398054,0,0,912135,297,45,40,35,32,30,30,9876593
"26",3,1,2,0,47,0,3,3,4,7,1,1,3,3,"T.T.Singh","GOJRA",8473110,74197,0,59568,517470,0,0,1185776,386,45,40,35,32,30,30,10310121
"27",3,1,2,0,47,0,3,3,4,7,1,1,4,3,"T.T.Singh","GOJRA",8473110,64304,0,59568,517470,0,0,1185776,386,45,40,35,32,30,30,10300228
"28",3,1,2,0,47,0,3,3,4,7,1,1,5,3,"T.T.Singh","GOJRA",8473110,64304,0,59568,517470,0,0,1185776,386,45,40,35,32,30,30,10300228
"29",3,1,2,0,47,0,3,3,4,7,1,1,6,3,"T.T.Singh","GOJRA",8473110,70150,0,59568,517470,0,0,1185776,386,45,40,35,32,30,30,10306074
"30",3,1,2,0,47,0,3,3,4,7,1,1,7,3,"T.T.Singh","GOJRA",8473110,70150,0,59568,517470,0,0,1185776,386,45,40,35,32,30,30,10306074
"31",3,1,2,0,47,0,3,3,4,7,1,1,8,3,"T.T.Singh","GOJRA",8473110,136793,0,59568,517470,0,0,1541509,502,45,40,35,32,30,30,10728450
"32",3,1,2,0,47,0,3,3,4,7,1,1,9,3,"T.T.Singh","GOJRA",8473110,136793,0,59568,517470,0,0,1541509,502,45,40,35,32,30,30,10728450
"33",3,1,2,0,47,0,3,3,4,7,1,1,10,3,"T.T.Singh","GOJRA",8473110,136793,0,59568,517470,0,0,1541509,502,45,40,35,32,30,30,10728450
"34",3,1,2,0,61,0,3,3,3,3,2,3,0,3,"Jhang","HAVELI B.SHAH",47166985,3982747,0,1059443,21912849,224177,175,6403871,5346,33,30,30,30,30,30,80750072
"35",3,1,2,0,61,0,3,3,3,3,2,3,1,3,"Jhang","HAVELI B.SHAH",3684456,11443,0,27156,518592,0,0,45990,15,33,30,30,30,30,30,4287637
"36",3,1,2,0,61,0,3,3,3,3,2,3,2,3,"Jhang","HAVELI B.SHAH",3684456,22886,0,27156,518592,0,0,45990,15,33,30,30,30,30,30,4299080
"37",3,1,2,0,61,0,3,3,3,3,2,3,3,3,"Jhang","HAVELI B.SHAH",3684456,50348,0,27156,674170,0,0,59787,20,33,30,30,30,30,30,4495917
"38",3,1,2,0,61,0,3,3,3,3,2,3,4,3,"Jhang","HAVELI B.SHAH",3684456,43635,0,27156,674170,0,0,59787,20,33,30,30,30,30,30,4489204
"39",3,1,2,0,61,0,3,3,3,3,2,3,5,3,"Jhang","HAVELI B.SHAH",3684456,43635,0,27156,674170,0,0,59787,20,33,30,30,30,30,30,4489204
"40",3,1,2,0,61,0,3,3,3,3,2,3,6,3,"Jhang","HAVELI B.SHAH",3684456,47602,0,27156,674170,0,0,59787,20,33,30,30,30,30,30,4493171
"41",3,1,2,0,61,0,3,3,3,3,2,3,7,3,"Jhang","HAVELI B.SHAH",3684456,47602,0,27156,674170,0,0,59787,20,33,30,30,30,30,30,4493171
"42",3,1,2,0,61,0,3,3,3,3,2,3,8,3,"Jhang","HAVELI B.SHAH",3684456,92824,0,27156,674170,0,0,77723,26,33,30,30,30,30,30,4556329
"43",3,1,2,0,61,0,3,3,3,3,2,3,9,3,"Jhang","HAVELI B.SHAH",3684456,92824,0,27156,674170,0,0,77723,26,33,30,30,30,30,30,4556329
"44",3,1,2,0,61,0,3,3,3,3,2,3,10,3,"Jhang","HAVELI B.SHAH",3684456,92824,0,27156,674170,0,0,77723,26,33,30,30,30,30,30,4556329
"45",3,1,2,0,73,0,3,3,1,2,2,2,0,3,"Faisalabad","JARANWALA",184041596,14457909,281117,5257127,28470442,92740,26,37207031,8607,45,42,30,33,35,30,269807962
"46",3,1,2,0,73,0,3,3,1,2,2,2,1,3,"Faisalabad","JARANWALA",4401900,5585,0,92856,236870,0,0,275940,90,45,42,30,33,35,30,5013151
"47",3,1,2,0,73,0,3,3,1,2,2,2,2,3,"Faisalabad","JARANWALA",4401900,11169,0,92856,236870,0,0,275940,90,45,42,30,33,35,30,5018735
"48",3,1,2,0,73,0,3,3,1,2,2,2,3,3,"Faisalabad","JARANWALA",4401900,24572,0,92856,307931,0,0,358722,117,45,42,30,33,35,30,5185981
"49",3,1,2,0,73,0,3,3,1,2,2,2,4,3,"Faisalabad","JARANWALA",4401900,21295,0,92856,307931,0,0,358722,117,45,42,30,33,35,30,5182704
"50",3,1,2,0,73,0,3,3,1,2,2,2,5,3,"Faisalabad","JARANWALA",4401900,21295,0,92856,307931,0,0,358722,117,45,42,30,33,35,30,5182704
"51",3,1,2,0,73,0,3,3,1,2,2,2,6,3,"Faisalabad","JARANWALA",4401900,23231,0,92856,307931,0,0,358722,117,45,42,30,33,35,30,5184640
"52",3,1,2,0,73,0,3,3,1,2,2,2,7,3,"Faisalabad","JARANWALA",4401900,25509,0,92856,307931,0,0,358722,117,45,42,30,33,35,30,5186918
"53",3,1,2,0,73,0,3,3,1,2,2,2,8,3,"Faisalabad","JARANWALA",4401900,49743,0,92856,307931,0,0,466339,152,45,42,30,33,35,30,5318769
"54",3,1,2,0,73,0,3,3,1,2,2,2,9,3,"Faisalabad","JARANWALA",4401900,49743,0,92856,307931,0,0,466339,152,45,42,30,33,35,30,5318769
"55",3,1,2,0,73,0,3,3,1,2,2,2,10,3,"Faisalabad","JARANWALA",4401900,49743,0,92856,307931,0,0,466339,152,45,42,30,33,35,30,5318769
"56",3,1,9,0,76,0,3,8,2,4,1,2,0,3,"Khushab","JOHARABAD",189349657,18831428,90155,2996736,14424020,438469,180,33145711,848,50,49,48,49,30,30,259276176
"57",3,1,9,0,76,0,3,8,2,4,1,2,1,3,"Khushab","JOHARABAD",20679732,3942,0,23652,1072224,0,0,245280,80,50,49,48,49,30,30,22024830
"58",3,1,9,0,76,0,3,8,2,4,1,2,2,3,"Khushab","JOHARABAD",20679732,7884,0,23652,1072224,0,0,245280,80,50,49,48,49,30,30,22028772
"59",3,1,9,0,76,0,3,8,2,4,1,2,3,3,"Khushab","JOHARABAD",20679732,17345,0,23652,1072224,0,0,318864,104,50,49,48,49,30,30,22111817
"60",3,1,9,0,76,0,3,8,2,4,1,2,4,3,"Khushab","JOHARABAD",20679732,15032,0,23652,1072224,0,0,318864,104,50,49,48,49,30,30,22109504
"61",3,1,9,0,76,0,3,8,2,4,1,2,5,3,"Khushab","JOHARABAD",20679732,15032,0,23652,1072224,0,0,318864,104,50,49,48,49,30,30,22109504
"62",3,1,9,0,76,0,3,8,2,4,1,2,6,3,"Khushab","JOHARABAD",20679732,16399,0,23652,1072224,0,0,318864,104,50,49,48,49,30,30,22110871
"63",3,1,9,0,76,0,3,8,2,4,1,2,7,3,"Khushab","JOHARABAD",20679732,16399,0,23652,1072224,0,0,318864,104,50,49,48,49,30,30,22110871
"64",3,1,9,0,76,0,3,8,2,4,1,2,8,3,"Khushab","JOHARABAD",20679732,31977,0,23652,1072224,0,0,414523,135,50,49,48,49,30,30,22222108
"65",3,1,9,0,76,0,3,8,2,4,1,2,9,3,"Khushab","JOHARABAD",20679732,31977,0,23652,1072224,0,0,414523,135,50,49,48,49,30,30,22222108
"66",3,1,9,0,76,0,3,8,2,4,1,2,10,3,"Khushab","JOHARABAD",20679732,31977,0,23652,1072224,0,0,414523,135,50,49,48,49,30,30,22222108
"67",3,1,2,0,78,0,3,3,3,3,3,1,0,3,"Jhang","JHANG-1",192052660,24455066,549940,9272376,38311266,678040,292,42090438,9572,48,45,40,40,30,30,307409786
"68",3,1,2,0,78,0,3,3,3,3,3,1,1,3,"Jhang","JHANG-1",11187396,10038,0,183960,2149704,0,0,672987,219,48,45,40,40,30,30,14204085
"69",3,1,2,0,78,0,3,3,3,3,3,1,2,3,"Jhang","JHANG-1",11187396,20075,0,183960,2149704,0,0,672987,219,48,45,40,40,30,30,14214122
"70",3,1,2,0,78,0,3,3,3,3,3,1,3,3,"Jhang","JHANG-1",11187396,44165,0,183960,2149704,0,0,874883,285,48,45,40,40,30,30,14440108
"71",3,1,2,0,78,0,3,3,3,3,3,1,4,3,"Jhang","JHANG-1",11187396,38276,0,183960,2149704,0,0,874883,285,48,45,40,40,30,30,14434219
"72",3,1,2,0,78,0,3,3,3,3,3,1,5,3,"Jhang","JHANG-1",11187396,38276,0,183960,2149704,0,0,874883,285,48,45,40,40,30,30,14434219
"73",3,1,2,0,78,0,3,3,3,3,3,1,6,3,"Jhang","JHANG-1",11187396,41756,0,183960,2149704,0,0,874883,285,48,45,40,40,30,30,14437699
"74",3,1,2,0,78,0,3,3,3,3,3,1,7,3,"Jhang","JHANG-1",11187396,42211,0,183960,2149704,0,0,874883,285,48,45,40,40,30,30,14438154
"75",3,1,2,0,78,0,3,3,3,3,3,1,8,3,"Jhang","JHANG-1",11187396,82312,0,183960,2149704,0,0,1137348,371,48,45,40,40,30,30,14740720
"76",3,1,2,0,78,0,3,3,3,3,3,1,9,3,"Jhang","JHANG-1",11187396,82312,0,183960,2149704,0,0,1137348,371,48,45,40,40,30,30,14740720
"77",3,1,2,0,78,0,3,3,3,3,3,1,10,3,"Jhang","JHANG-1",11187396,82312,0,183960,2149704,0,0,1137348,371,48,45,40,40,30,30,14740720
"78",3,1,2,0,79,0,3,3,1,2,3,1,0,3,"Faisalabad","JHANG ROAD",242844339,22778944,360138,42706862,1220677,11794135,4796,229740634,20746,45,40,30,30,30,30,551445729
"79",3,1,2,0,79,0,3,3,1,2,3,1,1,3,"Faisalabad","JHANG ROAD",23365548,24401,0,133152,446760,0,0,1198806,391,45,40,30,30,30,30,25168667
"80",3,1,2,0,79,0,3,3,1,2,3,1,2,3,"Faisalabad","JHANG ROAD",23365548,48802,0,133152,446760,0,0,1198806,391,45,40,30,30,30,30,25193068
"81",3,1,2,0,79,0,3,3,1,2,3,1,3,3,"Faisalabad","JHANG ROAD",23365548,109405,0,133152,446760,0,0,1558448,508,45,40,30,30,30,30,25613313
"82",3,1,2,0,79,0,3,3,1,2,3,1,4,3,"Faisalabad","JHANG ROAD",23365548,94818,0,133152,446760,0,0,1558448,508,45,40,30,30,30,30,25598726
"83",3,1,2,0,79,0,3,3,1,2,3,1,5,3,"Faisalabad","JHANG ROAD",23365548,94818,0,133152,446760,0,0,1558448,508,45,40,30,30,30,30,25598726
